DESCRIÇÃO;IGESDF;BRAZ;CEI II;GAMA;PAR;PLAN;RF II;VIC PS;IHB 
SALDO INICIAL;50.632.403,48;0,00;3.267.052,17;4.817.231,21;4.076.522,80;0,00;5.667.537,27;0,00;32.804.060,03
INGRESSOS;;;;;;;;;
Repasse SES/DF (BRUTO);;;;;;;;;
Repasse SES/DF (LÍQUIDO) - 2022;1.230.210.324,96;25.009.518,81;26.700.554,05;24.551.790,84;26.527.023,43;28.959.983,98;24.551.790,84;26.984.751,40;1.046.924.911,61
Repasse COVID-19 Dez/2021 15º TA;6.497.740,80;;;;;;;;6.497.740,80
Convênios Federais;7.826.476,00;;;;;;;;7.826.476,00
Emenda Parlamentar;3.323.076,00;;;;;;;;3.323.076,00
Doação;40.352,00;;;;;;;;40.352,00
Outros Ingressos/Rendimentos Aplicação Financeira;12.406.931,54;645.751,42;399.978,28;413.236,74;386.922,94;469.466,44;414.764,28;731.490,26;8.945.321,18
Desconto Contratual (METAS);0,00;;;;;;;;0,00
TOTAL DE INGRESSOS;1.260.304.901,30;25.655.270,23;27.100.532,33;24.965.027,58;26.913.946,37;29.429.450,42;24.966.555,12;27.716.241,66;1.073.557.877,59
DESEMBOLSOS;;;;;;;;;
CUSTO COM PESSOAL;-575.871.768,77;-9.141.496,78;-10.616.839,99;-9.985.741,75;-10.489.111,65;-9.397.196,65;-9.899.058,20;-9.928.750,79;-506.413.572,96
Folha Líquida;-419.811.919,96;-6.895.629,69;-7.770.416,79;-7.295.607,84;-7.684.414,46;-6.933.674,65;-7.191.544,60;-7.296.819,02;-368.743.812,91
Rescisão (TRCT);-9.282.575,50;-59.827,92;-134.101,13;-103.927,70;-140.380,22;-164.439,92;-150.682,58;-213.832,08;-8.315.383,95
FGTS s/folha;-40.349.757,39;-452.737,34;-768.141,17;-649.856,12;-741.452,14;-458.085,85;-639.930,97;-476.247,90;-36.163.305,90
Encargos s/ folha, rescisão e GRCS;-291.645,76;-4.552,65;-4.127,22;-4.646,98;-3.595,41;-5.773,43;-4.365,29;-5.302,20;-259.282,58
INSS s/folha;-34.991.577,01;-639.954,49;-609.493,97;-657.515,26;-582.513,40;-678.549,77;-678.860,90;-721.868,54;-30.422.820,68
IRRF s/folha;-54.284.056,84;-619.877,20;-817.414,09;-778.708,18;-826.521,48;-652.496,05;-755.820,03;-672.335,04;-49.160.884,77
Vale-Refeição;-11.253.160,18;-411.785,40;-442.140,60;-427.576,80;-421.773,60;-430.125,00;-413.868,60;-463.512,00;-8.242.378,18
Vale-Transporte;-2.089.194,51;-40.633,90;-38.816,86;-38.958,32;-58.481,64;-44.999,83;-29.279,20;-42.183,40;-1.795.841,36
PIS s/folha;-2.252.234,31;-13.575,81;-14.771,15;-14.148,77;-15.219,79;-11.847,01;-13.780,42;-13.100,69;-2.155.790,67
GRRF;-1.265.647,31;-2.922,38;-17.417,01;-14.795,78;-14.759,51;-17.205,14;-20.925,61;-23.549,92;-1.154.071,96
DESPESAS GERAIS;-22.887.744,27;-251,26;-206,26;-555,50;-276,47;-558,95;-559,25;-552,52;-22.884.784,06
Materiais Gráficos, Plotagens, Plantas e Desenhos;-205.406,71;;;;;;;;-205.406,71
Cessão de direito de uso de Software (Licenças);-1.192.310,68;;;;;;;;-1.192.310,68
Processos e Depósitos Judiciais;-5.634.359,33;;;;;;;;-5.634.359,33
Multa Fiscal, Tributos, CSRF (5952) e IRRF (1708);-15.583.913,69;;;;;;;;-15.583.913,69
Cartório (Cópias, Registros, Autenticações e Rec. Firma);-2.899,79;;;;;;;;-2.899,79
Tarifas bancárias;-160.501,40;-251,26;-206,26;-555,50;-276,47;-558,95;-559,25;-552,52;-157.541,19
Condução, Táxi, e Passagens Aéreas;-4.500,00;;;;;;;;-4.500,00
Material de Escritório;0,00;;;;;;;;0,00
Bens de Pequeno Valor;-63.500,67;;;;;;;;-63.500,67
Confraternizações e Presentes;0,00;;;;;;;;0,00
Copa, Cozinha e Refeitório;0,00;;;;;;;;0,00
Doação;-40.352,00;;;;;;;;-40.352,00
CONCESSIONÁRIAS;-26.832.635,74;-129.126,46;-227.658,02;-203.769,75;-221.509,90;-179.074,52;-218.578,65;-214.244,30;-25.438.674,14
Serviço de água e esgoto;-9.121.459,51;-61.895,26;-96.263,48;-47.777,75;-81.201,73;-86.165,01;-100.366,41;-104.676,68;-8.543.113,19
Serviços de energia elétrica;-17.711.176,23;-67.231,20;-131.394,54;-155.992,00;-140.308,17;-92.909,51;-118.212,24;-109.567,62;-16.895.560,95
Serviços de telecomunicações;0,00;;;;;;;;
MATERIAL DE CONSUMO;-232.132.680,63;-1.559.089,00;-2.389.470,96;-3.492.462,04;-1.584.614,59;-2.303.885,64;-1.684.233,96;-1.811.418,73;-217.307.505,71
Medicamentos;-105.151.482,28;-738.671,17;-1.249.344,77;-2.485.864,06;-616.725,05;-1.117.949,14;-768.005,76;-797.674,22;-97.377.248,11
Material de expediente;-634.247,36;-16.002,01;-28.408,53;-20.734,96;-22.462,33;-20.674,44;-23.955,37;-21.334,28;-480.675,44
Material médico-hospitalar;-61.193.895,80;-642.747,91;-964.512,18;-815.294,75;-785.571,32;-780.687,50;-727.658,22;-803.778,65;-55.673.645,27
Material para reabilitação (OPME-órteses, próteses e materiais);-34.896.529,18;-1.460,00;;;;;;;-34.895.069,18
Combustíveis e lubrificantes outras finalidades;-3.585.600,00;;;;;;;;-3.585.600,00
Gases medicinais;-4.047.021,53;-29.928,08;-54.372,95;-63.583,06;-46.136,95;-239.687,94;-39.406,04;-47.164,97;-3.526.741,54
Nutrição Enteral / Parenteral;;;;;;;;;-1.762.380,99
Material laboratorial;-19.516.579,46;-130.279,83;-92.832,53;-106.985,21;-113.718,94;-144.886,62;-125.208,57;-141.466,61;-18.661.201,15
Material para manutenção de Equipto Médico Hospitalar;-806.202,33;;;;;;;;-806.202,33
Material de limpeza;-13.335,49;;;;;;;;-13.335,49
Material para manutenção de bens móveis;-304.293,30;;;;;;;;-304.293,30
Material para manutenção de bens imóveis;-2.335,90;;;;;;;;-2.335,90
Materiais Descartáveis (Almoxarifado-Avental, Fralda, Lençol, etc);-91.307,30;;;;;;;;-91.307,30
Outros materiais de consumo;-127.469,71;;;;;;;;-127.469,71
SERVIÇOS DE TERCEIROS;-322.112.106,14;-2.894.916,96;-4.699.540,18;-4.291.947,80;-4.276.746,03;-3.651.585,54;-4.076.622,76;-4.313.927,84;-293.906.819,03
Outros serviços de terceiros - pessoa jurídica;-1.370.496,18;-19.271,68;;;;-19.271,68;-19.271,68;-20.360,39;-1.292.320,75
Serviços de vigilância e segurança;-20.182.327,59;-781.411,57;-831.727,60;-781.411,57;-791.009,75;-781.411,57;-781.411,57;-781.411,47;-14.652.532,49
Serviço de manutenção e conservação de bens imóveis;-4.471.817,59;;;;;;;;-4.471.817,59
Serviço de manutenção e conservação de máquinas e equipamentos;-12.668.631,42;-17.067,02;-19.351,36;-9.744,60;-20.635,08;-18.830,88;-8.402,95;-10.820,49;-12.563.779,04
Serviço de coleta de resíduos de serviços de saúde;-1.476.804,69;-10.968,28;-30.239,18;-11.931,28;-11.075,65;-10.823,94;-11.132,82;-19.825,50;-1.370.808,04
Infraestrutura em TI e Gestão de Sistemas;-31.332.234,42;-60.068,63;-62.096,58;-62.096,58;-62.096,56;-62.078,47;-61.553,38;-61.010,18;-30.901.234,04
Serviço de lavanderia;-5.862.831,68;-14.103,00;-29.933,28;-15.670,00;-22.503,70;-24.489,04;-15.670,00;-15.670,00;-5.724.792,66
Serviços de limpeza e conservação;-41.595.215,41;-497.463,02;-699.214,58;-756.452,72;-698.931,19;-644.388,61;-735.598,49;-636.632,61;-36.926.534,19
Serviço de Atendimento;-17.511.987,76;-237.302,64;-237.302,64;-237.302,64;-237.302,64;-237.302,64;-237.302,64;-237.302,64;-15.850.869,28
Serviço de Transporte Assistencial;-27.318.413,63;-370.590,76;-1.372.473,10;-1.024.902,66;-1.225.822,73;-646.220,02;-1.038.727,87;-1.187.291,60;-20.452.384,89
Serviço de Radiologia e Imagem;-30.483.266,90;-1.102,97;-1.004,57;-940,73;-892,90;-1.020,48;-874,27;-1.036,46;-30.476.394,52
Serviços laboratoriais;-326.281,61;;;;-197,00;-470,65;-197,00;;-325.416,96
Propaganda, Publicidade, Anúncios, amostras e Patrocínio;-179.204,12;;;;;;;;-179.204,12
Serviço de fornecimento de alimentação - pessoa jurídica;-60.396.158,41;-150.357,27;-479.238,68;-460.786,19;-341.663,63;-379.277,13;-298.245,22;-414.223,68;-57.872.366,61
Serviço de Transporte Administrativo - Locação;-117.809,36;;;;;;;;-117.809,36
Auditoria, Assessoria, Consultoria e Perícia;-171.218,90;;;;;;;;-171.218,90
Assessoria recrutamento e seleção;0,00;;;;;;;;0,00
Gestão Integrada de Leito Hospitalar;-1.237.778,00;;;;;;;;-1.237.778,00
Central de Regulação - Gerenciamento Remoção Paciente;0,00;;;;;;;;0,00
Serviço de cópias e reprodução de documentos;0,00;;;;;;;;0,00
Locação de Bens e Equipamentos;-36.448.010,72;-213.797,48;-372.557,85;-397.502,46;-309.808,72;-322.019,77;-313.952,65;-303.736,43;-34.214.635,36
Terceirização de Serviços - Regime de execução indireta;0,00;;;;;;;;0,00
IRRF;-2.250.698,49;-36.325,70;-44.479,86;-39.705,32;-42.124,46;-34.645,87;-41.552,22;-51.025,31;-1.960.839,75
CSRF;-10.208.371,84;-145.116,30;-165.268,16;-141.273,63;-159.986,30;-128.413,83;-148.608,65;-186.389,32;-9.133.315,65
ISS;-7.189.889,90;-107.691,40;-136.842,60;-129.429,70;-133.393,89;-118.834,01;-133.063,53;-138.735,23;-6.291.899,54
INSS;-9.944.593,21;-232.279,24;-217.810,14;-222.797,72;-219.301,83;-222.086,95;-231.057,82;-248.456,53;-8.350.802,98
Bloqueio Judicial;631.935,69;;;;;;;;631.935,69
TOTAL DE DESEMBOLSOS CUSTEIO;-1.179.836.935,55;-13.724.880,46;-17.933.715,41;-17.974.476,84;-16.572.258,64;-15.532.301,30;-15.879.052,82;-16.268.894,18;-1.065.951.355,90
Transferência entre contas (+/-);0,01;-1.820.229,62;-6.205.728,30;-4.865.289,51;-8.138.029,58;-5.878.577,39;-8.173.044,53;-2.170.973,37;37.251.872,31
Numerário em Trânsito ;;;;;;;;;0,00
SALDO FINAL;121.147.408,41;9.268.353,39;6.228.140,79;6.639.108,74;6.238.932,88;7.475.709,22;6.538.460,61;8.813.800,50;69.944.902,28
SALDO FINAL ;121.147.408,41;9.268.353,39;6.228.140,79;6.639.108,74;6.238.932,88;7.475.709,22;6.538.460,61;8.813.800,50;69.944.902,28
