DESCRIÇÃO;IGESDF;BRAZ;CEI II;GAMA;PAR;PLAN;RF II;VIC PS;IHB 
SALDO INICIAL;137.226.249,37;9.100.560,33;5.100.289,97;4.457.218,09;5.780.230,48;6.637.470,59;6.078.442,25;8.267.598,80;91.804.438,86
INGRESSOS;;;;;;;;;
Repasse SES/DF (LÍQUIDO) - Mar/2023;109.672.643,21;2.045.982,57;2.045.982,57;2.045.982,57;2.045.982,57;2.045.982,57;2.045.982,57;2.045.982,57;95.350.765,22
Repasse SES/DF (LÍQUIDO) - Abr/2023;14.321.877,99;2.045.982,57;2.045.982,57;2.045.982,57;2.045.982,57;2.045.982,57;2.045.982,57;2.045.982,57;0,00
Repasse SES/DF (26º TA);664.937,11;;;;;;;;664.937,11
Repasse SES/DF (27º TA);7.804.349,00;;;;;;;;7.804.349,00
Repasse SES/DF (28º TA);487.290,86;;;;;;;;487.290,86
Convênios;0,00;;;;;;;;
Emenda Parlamentar;0,00;;;;;;;;
Doação;0,00;;;;;;;;
Outros Ingressos/Rendimentos Aplicação Financeira;-199.497,51;113.960,71;65.277,68;58.540,41;73.235,09 ;84.461,31;77.479,95 ;101.864,58;-774.317,24
Desconto Contratual (METAS);0,00;;;;;;;;
TOTAL DE INGRESSOS;132.751.600,66;4.205.925,85;4.157.242,82;4.150.505,55;4.165.200,23;4.176.426,45;4.169.445,09;4.193.829,72;103.533.024,95
;;;;;;;;;
DESEMBOLSOS;;;;;;;;;
CUSTO COM PESSOAL;-50.384.781,77;-899.391,42;-935.483,51;-889.565,76;-930.741,15;-905.808,12;-877.400,13;-868.156,34;-44.078.235,34
Folha Líquida;-36.742.321,97;-683.532,86;-661.482,74;-650.246,22;-643.782,60;-639.170,39;-616.943,55;-638.535,48;-32.208.628,13
Rescisão (TRCT);-1.246.653,69;;-37.884,90;;-58.902,61;-31.010,54;-29.358,00;-5.957,87;-1.083.539,77
FGTS s/folha;-3.557.171,27;-62.522,19;-62.867,93;-63.993,82;-64.336,77;-61.483,06;-63.743,91;-61.701,35;-3.116.522,24
Encargos s/ folha, rescisão e GRCS;-12.351,61;-60,00;-62,02;-334,56;-134,64;-116,74;-130,00;;-11.513,65
INSS s/folha;-2.935.485,44;-50.775,30;-58.015,56;-51.428,81;-47.074,58;-62.043,95;-59.199,49;-57.944,90;-2.549.002,85
IRRF s/folha;-4.738.663,11;-73.192,07;-82.455,26;-89.028,75;-80.838,95;-78.764,24;-77.869,58;-69.070,65;-4.187.443,61
Vale-Refeição;-845.307,61;-28.030,20;-30.243,60;-32.419,80;-31.954,80;-31.173,60;-28.662,60;-31.452,60;-631.370,41
Vale-Transporte;-152.043,60;-1.278,80;-2.471,50;-2.113,80;-3.716,20;-2.045,60;-1.493,00;-3.069,70;-135.855,00
PIS s/folha;0,00;;;;;;;;
GRRF;-154.783,47;;;;;;;-423,79;-154.359,68
DESPESAS GERAIS;-1.528.808,00;-200,01;0,00;0,00;0,00;0,00;0,00;0,00;-1.528.607,99
Materiais Gráficos, Plotagens, Plantas e Desenhos;-26.625,00;;;;;;;;-26.625,00
